naslov,mesec,leto,jezik,število besed,komentarji,kudos,bookmarks,hits,napisana poglavja,vsa poglavja,avtor
Innocent Monsters,8,2021,English,50035,1624,11470,4307,279561,12,12,itscometothis
Naked,10,2017,English,57449,652,8540,2119,156731,3,3,bixgirl1
Black Mulberry: The Hogwarts Hexad and WHOSE Stone Now,3,2023,English,134024,1555,12424,2979,471585,31,31,nxrthmizu
Potter and Malfoy's Guide to the Internet,7,2025,English,140040,4962,13949,3546,418904,14,21,Bitui_n
Appetence,9,2024,English,438232,3224,9746,2524,512908,68,ni podatka,elysian_drops
"I could be wrong, I could be ready",12,2018,English,57343,1199,15122,4880,190658,4,4,harryromper
Out of Order,12,2011,English,4406,195,12810,1868,194527,1,1,worksofstone
Harry Potter and the Center of the Maze,8,2018,English,215633,2208,10489,822,329636,22,22,orphan_account
All the Young Dudes: Christmas Compilation,12,2017,English,7407,401,13884,1289,494321,5,5,MsKingBean89
Trouble,1,2017,English,7018,623,15432,2407,236211,1,1,loveglowsinthedark
A Bit of Bother and All That,12,2016,English,9248,212,9250,1743,98865,3,3,manic_intent
Polyjuice,12,2021,English,176417,1857,8930,718,268481,33,33,JessalynMichele
Holly &amp; Yew,5,2025,English,283280,10936,23114,7056,953820,66,ni podatka,LovelyLotus
Practicing Liars,10,2013,English,206306,630,9872,3008,331353,50,50,Lomonaaeren
Draco Malfoy and the Mirror of Ecidyrue,5,2020,English,90081,2205,37049,6080,1076249,18,18,starbrigid
"Don’t mind if I keep your tie (And your heart, babe)",9,2015,English,21363,240,17775,3433,222166,1,1,Ingi
Zero for Two (a tease of power),3,2021,English,8926,192,9203,1695,66045,1,1,XxTheDarkLordxX
Tug-O-Want,6,2013,English,16668,144,8118,1466,117765,1,1,dysonrules
Cupboards and Cryogenics,3,2023,English,218674,4566,11088,3521,477344,78,78,YodelingProspector
It runs in the blood,8,2025,English,576277,7632,9735,2951,492387,31,ni podatka,Metalomagnetic
disparate,2,2024,English,40708,668,10267,2674,221561,4,4,Stars_in_motion
Invisible,6,2016,English,581088,1581,10870,3272,641314,112,112,DebsTheSlytherinSnapeFan
A Deeper Connection: The Philosopher's Stone,8,2020,English,138351,1093,8548,1884,282263,28,28,ThroughPestilencesAndFamines
The Invisible Man,1,2014,English,9984,268,18439,2116,247262,3,3,Faith Wood (faithwood)
Lesmosyne,7,2025,English,47853,2982,8157,1675,139601,11,20,TimaeusKosmou
Strange You Never Knew,4,2020,English,6547,207,9858,1902,179829,1,1,raven_maiden
Star Quality,12,2018,English,118607,1262,13325,3755,296396,15,15,who_la_hoop
what is dead may never die,5,2020,English,7666,79,9462,1474,75006,1,1,sisyphusss
Out of the Blue,11,2018,English,8656,1129,23791,2542,382680,2,2,MsKingBean89
Fractured Fairytale,12,2024,English,122752,2035,11258,4334,284875,32,34,Tsume_Yuki
Heir Apparent,6,2025,English,72581,11215,39361,10452,1143930,23,ni podatka,MonsieurClavier
Visions of Doom,10,2017,English,164893,3783,10928,2403,353473,107,107,sevlandexplorer
It Was We Who Were The Cliché (But We Carried On Anyway),11,2012,English,31075,173,11502,2384,150780,1,1,orphan_account
The Truth Is (Everyone Is Confused By Quantum Physics),11,2022,English,37525,1025,8484,3127,174879,13,ni podatka,EvieFuller
When Patterns Are Broken,9,2023,English,255350,1409,9923,3609,355923,37,37,lonibal
survival is a talent,9,2024,English,530377,15601,61275,19178,3001540,34,ni podatka,ShanaStoryteller
You And Me,6,2017,English,27619,546,19293,4235,321636,1,1,bixgirl1
Apple Pies and Other Amends,11,2016,English,76720,2188,19203,7980,596502,29,29,ToEatAPeach
Here We Are,3,2017,English,22177,194,9412,2200,188203,1,1,Miss_Lv
Between Certifiable and Bliss,9,2021,English,97712,2450,8485,3276,318652,19,19,HeyJude19
My Maltese Tiger,2,2023,English,59373,1647,9117,2335,279058,27,ni podatka,elvirakitties
Amends,11,2021,English,44770,1126,11463,2763,292119,7,7,thelashjedi
Dearly Beloved,3,2017,English,11547,387,20193,5233,181788,1,1,prosodiical
Little Talks,8,2012,English,11351,268,25041,4312,316144,1,1,Femme (femmequixotic)
A Life Worth Living,10,2022,English,342088,2790,10255,3353,523398,62,62,DebsTheSlytherinSnapeFan
Fruit of the Golden Tree,11,2018,English,11884,443,10615,1570,110875,3,3,Lomonaaeren
The Consort Tournament,3,2023,English,182594,1680,8147,2582,268885,30,ni podatka,Watermelonsmellinfellon
Say My Name,9,2018,English,199135,1988,9793,2720,343283,21,21,Thunderbird587
The Last Black,8,2020,English,93904,1616,10601,3323,187117,18,18,Toboe1087
Cunning and Ambition - Book One,10,2011,English,50017,342,8176,933,337123,16,16,MinaAndChao
Soul of fire,7,2024,English,66863,2104,10763,2589,339370,40,40,Willofhounds
Written on the Heart,12,2016,English,113984,2413,38746,9345,732493,20,20,who_la_hoop
Another Mind Game,10,2020,English,54012,2781,38845,9432,826564,17,17,May_May_0_0
With Eyes Wide Open,12,2012,English,70621,687,12458,3845,191233,1,1,suitesamba
Veritaserum,12,2021,English,176398,1912,10117,900,307461,30,30,JessalynMichele
as I let you rewrite gravity,9,2012,English,16042,402,10705,993,141895,1,1,1electricpirate
Tease,4,2015,English,1875,49,8990,991,156512,1,1,penpenhooray
Three's Family,10,2022,English,19328,1157,40427,8640,419609,5,5,darkbluedark
Timer,10,2015,English,2105,245,13966,1409,147240,1,1,JulietsEmoPhase
Not a lie at all,5,2024,English,22588,878,13449,3446,191542,11,11,Indigomountain
In Need of a Proper Hug,3,2012,English,2086,241,24046,2785,206360,1,1,Faith Wood (faithwood)
The Changeling,4,2017,English,182687,2037,11809,5895,405289,11,11,Annerb
Sacrificial Snake,8,2019,English,20066,236,11476,931,96523,4,4,Lomonaaeren
Chained,5,2025,English,71321,1897,9957,2858,218321,18,ni podatka,maquira
Stealing Sweaters,8,2017,English,12982,205,8725,1231,78570,2,2,DorthyAnn
Of Cinema and Sticky Notes,11,2012,English,12452,159,8638,1293,121136,3,3,bluepeony
Helix,1,2015,English,92870,1317,17935,5235,436324,25,25,Saras_Girl
Harriet Potter Is,2,2016,English,2071,385,8992,2910,67323,1,1,setepenre_set
"Slytherins Respect Power, Correct?",8,2022,English,1604,258,9203,1321,91195,1,1,ATiredAndDeadWriter
The Little Marauders Nursery and Day Care,12,2014,English,9835,179,8297,1321,92447,1,1,digthewriter
Redivider,4,2025,English,105890,6242,33567,8070,846361,16,ni podatka,Vichan
Corruption,5,2024,English,155580,1933,10154,1453,280334,45,45,itsjustsilver
Season Pass (To This Ass),7,2022,English,16390,1208,26481,6300,492984,6,6,mightbewriting
Through the Looking Glass and What Draco Found There,4,2019,English,17390,663,9396,1925,115234,2,2,magpie_fngrl
Seven Drops and Asphodel Blooms,8,2025,English,121417,4429,9061,3033,273202,34,ni podatka,GwendolynStacy
At Your Service,1,2012,English,95752,988,19197,5524,393122,9,9,Faith Wood (faithwood)
The Glass Serpent and the Dark Horse,1,2021,English,106601,2395,9896,3480,226733,41,ni podatka,KaedeRavensdale
The Shadow of Time,8,2023,English,341082,2393,9720,3291,332526,34,34,FightFireWithFire
family and other wonders,4,2023,English,124359,2711,13146,5122,400237,34,ni podatka,resonance_and_d
Black Fortunes,11,2016,English,53042,1019,20647,6098,527996,28,28,Herald_of_Dreams
Clean,4,2016,English,118892,1114,8626,4948,644515,31,31,olivieblake
Love a Lie,5,2022,English,20169,326,9168,2447,196049,4,4,ambpersand
Pyrite,2,2018,English,133675,1922,9014,683,184085,22,22,geoffaree
Independent Study,12,2020,English,144148,1590,17152,6112,423958,35,35,SomewheresSword
Heroes all have a Saving People Thing,1,2022,English,94246,2884,15904,5221,489154,25,25,Blueseabird2
Amortentia,5,2019,English,21057,359,11237,2148,97842,1,1,avioleta
Chase the Chill Away,2,2021,English,4468,172,10716,978,146534,2,2,a_dale
Born from Chaos,6,2025,English,317254,6340,13318,3983,721943,81,81,QueenOfALotOfDifferentWorlds
Lovesick,4,2022,English,7688,178,12695,2075,84421,1,1,corvuscrowned
The Stark Truth,6,2024,English,229819,2987,15527,4486,568189,31,31,misteeirene
One Night at the Leaky,10,2015,English,12439,275,11804,1847,122130,1,1,birdsofshore
Ten Thousand Reasons Why Not,4,2018,English,8449,401,9609,1541,85928,1,1,lq_traintracks (lumosed_quill)
Pride and Power,11,2018,English,15788,261,9048,826,124048,3,3,Lomonaaeren
hello goodbye ('twas nice to know you),7,2015,English,4807,543,56233,7195,673682,1,1,tamerofdarkstars
"don't blame me, love made me crazy",8,2021,English,14643,151,9886,1935,110901,1,1,coupe_de_foudre
Hold My Hand,11,2014,English,3762,158,13811,1463,142475,1,1,bafflinghaze
"Yeah, My Boyfriend's Pretty Cool (But Not as Cool as Me)",1,2023,English,90187,1799,10352,2788,343505,35,35,paintmegrey
Padfoot And Hound,8,2025,English,416259,6015,11349,2827,558768,87,ni podatka,SayItAll
Observations of a Pureblood Heir,11,2018,English,4515,306,14779,2036,135365,1,1,temptresslove
Princeps,11,2019,English,11322,461,23557,3453,304549,3,3,Lomonaaeren
Too old to be this young,5,2025,English,129335,4251,17924,6708,504901,30,ni podatka,Nadia_Castillo
Deus Ex Machina,2,2015,English,3249,98,9241,1072,122990,2,2,The_Plot_Bunny_Whisperer
The Ties That Bind Us,4,2012,English,27890,218,14730,2629,285708,1,1,Faith Wood (faithwood)
A Snake Named Voldemort,4,2014,English,173220,520,8857,3167,256131,24,24,orphan_account
the best laid plans,8,2022,English,39181,851,9739,2838,122302,7,ni podatka,ni podatka
Proximate,2,2018,English,88687,603,8191,3076,322042,21,21,In_Dreams
Heal Thyself,4,2022,English,46905,1503,23143,8583,334127,1,1,astolat
He Who Must Not Be Normal,12,2013,English,40913,584,14383,3645,266641,1,1,lettered
Magical Menagerie,5,2017,English,16414,273,8292,1896,71419,7,7,DorthyAnn
The Butler and the Master of Death,8,2024,English,48635,1837,9669,3114,160475,21,ni podatka,PinkieDev
Just The Two Of Us,7,2016,English,3492,67,10119,832,113658,1,1,Hekatee
Ice Queen,1,2025,English,48857,790,9544,3272,199080,15,20,stridermagic
Conditionally,7,2019,English,39046,555,10645,2900,146345,6,6,Lomonaaeren
Lead Me Into the Light,3,2023,English,17724,477,20260,4492,207201,2,2,third_crow
His Twenty-Eighth Life,9,2021,English,236587,3268,10008,2343,294932,78,ni podatka,Lomonaaeren
The Last Enemy: Dark Marks,7,2024,English,407081,5281,9565,1185,605946,71,71,CH_Darling
Yesterday is Tomorrow (everything is connected),1,2025,English,260440,4391,13752,5429,531172,28,30,IAM_Kneazle (twicethet)
Storm in a Teacup,8,2012,English,7954,580,50258,7605,494805,1,1,Faith Wood (faithwood)
Other People's Choices,7,2018,English,182853,2797,13326,2755,520560,60,60,Lomonaaeren
"The Barista, the Burglar, and the Sofa",5,2018,English,21344,423,10697,2904,126869,1,1,orphan_account
Fixing It,7,2020,English,39948,889,10068,2473,328503,19,19,elvirakitties
Snapped,1,2017,English,19478,1398,18240,3758,400704,13,13,TheFeistyRogue
Harry Potter and the Den of Snakes,11,2017,English,78245,727,13551,2088,389370,9,9,orphan_account
Like Real People Do,1,2023,English,36527,804,17093,4181,268969,3,3,third_crow
Like a Ballast,4,2016,English,4357,54,9490,1309,102825,1,1,orphan_account
Draco at Nineteen,6,2015,English,5196,345,11969,1579,170023,1,1,birdsofshore
Saint Riddle,9,2020,English,18494,837,9409,1686,162322,19,19,temptresslove
Kill Your Darlings,10,2023,English,303706,5633,28948,8370,1460556,28,28,MesserMoon
Little Lamb Gone to Slaughter,7,2023,English,89336,1231,11050,2655,191626,15,15,orphan_account
Timeshare,1,2016,English,14156,510,25600,3978,331427,1,1,astolat
Muggle Studies is Economics in Disguise,12,2022,English,11835,612,13087,3361,109407,5,5,May_May_0_0
Potens,7,2020,English,17985,441,18987,1372,178813,3,3,Lomonaaeren
Carpe Noctem,3,2025,English,864389,2900,10611,3220,633539,52,ni podatka,evareinadeescocia
Thrown Back,8,2025,English,193719,1524,9067,2417,1271675,38,ni podatka,ProfessorQuill
The Gift of Giving,12,2020,English,16808,342,9020,2077,85571,3,3,tiigi
pink lemonade,6,2023,English,121118,1630,14886,4958,627110,19,19,moonysbookshelf
Bound To You,4,2018,English,119812,1411,9014,2245,392513,55,55,Scaranpannoir
My Father is a Dark Lord!,3,2021,English,33043,2181,8693,1437,179038,37,37,temptresslove
Talk to Me,7,2013,English,15601,370,12763,2868,171541,1,1,Saras_Girl
The Disappearances of Draco Malfoy,6,2021,English,289780,5137,22854,11097,1592249,33,33,speechwriter
"Work Hard, Curse Hard",10,2017,English,3351,231,13126,2210,100606,1,1,wynnebat
His Little Something,4,2017,English,6071,160,8254,1182,163681,1,1,chibaken
"James Potter, Remus Lupin, Sirius Black, Peter Pettigrew, (pause for breath) and the Prisoner of Azkaban",12,2022,English,32696,1185,14353,4082,188290,17,17,gonzoclock
A Hand Like Sunshine,4,2019,English,6668,266,12062,1734,131079,4,4,Wolven_Spirits
Inevitabilities,2,2019,English,103198,1197,11260,4195,293963,14,14,EclipseWing
Nero su bianco,4,2020,English,40507,753,9311,2486,103297,5,5,zuzallove
the heir of something or other,7,2015,English,14305,640,16406,3046,165401,1,1,dirgewithoutmusic
Luckiest Fucking Size Queen Alive,10,2016,English,6200,628,15233,2242,216092,1,1,loveglowsinthedark
chalk this one up as a win,10,2015,English,6205,262,15276,1523,175794,1,1,tamerofdarkstars
"Our Blood, Still Young",11,2012,English,14680,224,12151,2179,208837,7,7,templeg
ripped at every edge (but you're a masterpiece),9,2021,English,95613,2475,10460,4396,331890,27,ni podatka,Lissy
A Place Apart,4,2021,English,239311,5222,15080,5049,871297,46,46,Metalduck
Some Bonds Won’t be Broken,6,2025,English,211101,2700,10886,3269,536125,58,58,Acewriter2022
Lionheart,5,2025,English,729569,10444,11582,5755,982377,76,ni podatka,greenTeacup
The Sum of Their Parts,4,2016,English,138205,1684,15956,7786,363259,11,11,holdmybeer
Of Bookshelves and Baby Carriers,1,2019,English,11809,572,12016,2152,113799,5,5,poppunkpadfoot (StormVandal)
To Live Is The Rarest Thing,9,2022,English,135245,2128,14019,4551,458022,24,ni podatka,Maeglin_Yedi
Crime and Punishment,6,2025,English,213711,2778,14064,5400,566833,29,ni podatka,melolcatsi
Either must die at the hand of the other,6,2022,English,260011,5973,12298,3529,408009,25,25,Metalomagnetic
Crocodile Tears,1,2021,English,60432,2176,11824,3765,237396,21,ni podatka,Intern15_NightVale
Let's talk sugar,8,2019,English,2258,111,11395,1673,82662,1,1,asterismal (asterisms)
As Time Passes,1,2018,English,32816,479,11017,1771,169337,3,3,XxTheDarkLordxX
The Child of Azkaban,12,2018,English,99356,964,9153,2075,255017,20,20,LonelyHarvest
The Syntax of Things,7,2021,English,200436,3661,8636,1921,621368,72,72,Arrisha
Through the Window,8,2024,English,294606,5066,14975,4012,573967,67,ni podatka,PenRot
A Year Like None Other,6,2013,English,789572,2936,14298,4114,1097827,96,96,aspeninthesunlight
The Rise of the Drackens,12,2024,English,1433428,6661,16309,4031,1491540,140,ni podatka,StarLight_Massacre
Swung by Serafim,5,2017,English,352375,5610,11965,4857,484234,45,45,flamethrower
Before the Storm,2,2023,English,142678,1496,20662,6281,656991,20,20,orphan_account
"It's A Masquerade, Darling",1,2023,English,55408,2490,17401,5862,324473,23,ni podatka,ChubbyPanda15
My Time,8,2025,English,424525,11108,32720,7402,1740746,85,ni podatka,DebsTheSlytherinSnapeFan
The Mountains Eat the Stars,12,2020,English,4894,830,23829,2531,156119,1,1,eleventy7
Meet Me In Dreamland,10,2024,English,229631,5498,20098,6483,1193741,39,39,sinflower81
Twice as Much as an Earthquake,9,2014,English,18609,261,10493,1852,162252,1,1,firethesound_HP_archive
Harry Potter and the Philosopher's Snake,1,2023,English,108948,2132,10811,1815,263517,36,36,gonzoclock
Dawn of a New Day,2,2025,English,59629,2232,8727,2242,264261,45,ni podatka,Daphne919
That Universe Over There,12,2021,English,242407,3074,15233,5208,920256,58,ni podatka,mytimeconsumingsidehobby
Waiting By An Open Door,8,2017,English,29506,230,10789,2655,149336,1,1,Femme (femmequixotic)
"My Soul, Your Heart",1,2023,English,88611,3137,19817,4671,570446,35,35,Seriously_awkward_amy
to be known as himself,1,2020,English,51602,1079,8291,638,108424,17,17,stranglerfig
Harry Potter's Temper,1,2019,English,3348,168,8830,1413,97651,2,2,Fan_atic
Escaping the Paradox,4,2008,English,35411,281,16040,3181,290409,1,1,Meri
The pet of Slytherin House,1,2021,English,56017,415,8811,2393,224942,17,17,Graydove71
Second Heat,3,2015,English,26429,537,10417,1062,213453,5,5,Becstar7
Coil,6,2024,English,312047,7327,28467,1467,672671,33,33,Allegory_for_Hatred
The Romantic Prawn Who Loved Christmas,12,2017,English,39404,482,11175,2748,166844,2,2,bixgirl1
House Proud,3,2016,English,23111,1359,33860,10580,500213,1,1,astolat
Everything Black,6,2022,English,67495,1072,12173,2711,379717,18,18,General_Jellyfish
the art of hiding,2,2022,English,12373,133,8107,1690,79393,1,1,pinkpalaceapartments
Love from Scars,7,2021,English,20184,739,12199,3605,135433,6,6,Blueseabird2
The Left Words,2,2020,English,234804,1408,17794,5067,440090,11,11,authoresswithoutwords
Dripping Fingers,8,2022,English,191530,9395,40094,12057,1183294,39,39,May_May_0_0
Draco Black and the Bastard Dragon,10,2022,English,188608,2804,11801,1141,300856,33,33,starbrigid
Fifth Year Rebooted,9,2023,English,93272,1828,9163,2827,292480,48,48,Labgasod
5 times Crowley was Summoned on purpose + 1,1,2013,English,10049,253,13293,1934,148978,6,6,orphan_account
The Fury Within,10,2023,English,120310,1090,8596,2727,179555,27,27,NinjaPandaScholar
I'll Only Hurt You if You'll Let Me,3,2019,English,4468,174,8446,1039,99883,1,1,a_dale
The Emperor and the Star,2,2018,English,16496,225,9698,2401,119342,3,3,wynnebat
Way Down We Go,2,2021,English,109767,4305,25175,8738,698841,29,29,xiaq
There's No I In Team,7,2016,English,13389,239,8552,1593,109832,1,1,JulietsEmoPhase
Natural Selection,8,2022,English,35765,712,10635,1823,173837,11,11,Lomonaaeren
Imago,8,2022,English,47963,899,10597,1266,167722,15,15,Lomonaaeren
Willing,5,2018,English,486471,1528,8407,2514,486050,120,120,DebsTheSlytherinSnapeFan
No more lies (To Victory),1,2025,English,153470,1443,9982,3175,312804,20,ni podatka,darkest_ambition
You Get What You Give,6,2019,English,459514,2423,8269,2888,344046,53,ni podatka,Watermelonsmellinfellon
Lucifer,12,2015,English,11165,179,19693,2961,246789,1,1,leontina (Leontina)
Another Mask Behind You,12,2014,English,116557,1033,13393,3819,343486,4,4,lettered
An Inconvenient Path,12,2022,English,148498,3430,11938,3153,403341,58,58,yletylyf
Hard To Find,12,2014,English,12820,180,8764,1787,107441,6,6,accioromulus
Chronological Displacement,2,2022,English,89163,1032,11092,2695,301174,21,21,bookinit
"goodnight hero, goodnight prey",5,2025,English,86561,1160,9114,2319,271306,20,25,toxikgato
To Build a Home,11,2018,English,43390,1786,11430,2520,178807,18,22,BeanieBaby
Falling to You,3,2019,English,5537,460,8552,898,85353,2,2,a_dale
The Light More Beautiful,12,2014,English,81255,879,18166,5538,439503,4,4,firethesound_HP_archive
The Onyx in Radiance,3,2023,English,116679,3093,20837,4667,545736,36,36,Lomonaaeren
Safeguard,12,2015,English,42402,1083,10826,3241,183478,5,ni podatka,esama
Beyond the Breaking Point,9,2016,English,57392,1027,9846,3316,165019,8,ni podatka,FalconLux
to leap and love the fall,11,2019,English,6685,235,8543,932,97491,1,1,stranglerfig
The Standard You Walk Past,3,2015,English,46202,4134,66485,12767,1205152,14,14,bafflinghaze
The Standard,4,2025,English,158156,1003,8943,2117,350643,19,ni podatka,cozymonster
Vellum Voices,7,2018,English,16427,434,15854,2483,169353,3,3,Lomonaaeren
Baby In A Box,12,2012,English,10071,218,8528,1714,77531,2,2,Sita_Z
Leon Potter,11,2019,English,9229,211,12321,2217,104087,2,2,Lomonaaeren
Sisyphus,1,2014,English,5607,285,8910,2043,133154,1,1,esama
The Consequences of A Binding Ritual,9,2016,English,171023,3575,11432,3076,404792,33,ni podatka,teecup_angel
Harry Potter in the Claw of the Raven,11,2015,English,55894,602,15542,2432,369282,10,10,BakenandEggs
The Blacks,8,2025,English,56257,1945,10885,3212,257124,21,ni podatka,WanderingScout
Pocket Full Of Starlight (Never Let It Fade Away),8,2012,English,46315,280,9325,2631,142166,1,1,Femme (femmequixotic)
Living Well,11,2021,English,39380,824,20445,4809,310450,8,8,Lomonaaeren
The Nightmare Club,12,2018,English,85072,1389,11220,3173,217473,16,16,Elle Gray (Elle_Gray)
Little White,7,2017,English,1144,159,8635,880,48251,1,1,DorthyAnn
Secrets,6,2006,English,395365,1689,18608,7347,956655,62,62,Vorabiza (Biza)
You Look the Way I Feel,6,2020,English,108693,1092,15317,3845,419993,32,32,yourdifferentoctober
Two Words in Green Ink,12,2023,English,240368,1861,10242,3012,393806,41,41,fluorescencx
harry.exe has stopped working,2,2023,English,40788,1500,9550,2401,219505,31,31,orphan_account
Searching For Something You Can't Reach,5,2023,English,61674,1083,9339,3170,145750,17,17,enoby_w
Something I Don't Want to Stop,6,2013,English,16228,140,9793,1667,187585,1,1,lq_traintracks (lumosed_quill)
To Make It Better,1,2025,English,181863,2458,11237,3723,444702,32,ni podatka,izziecalloway
Onyx and Silver,12,2021,English,4493,246,13325,1581,150803,1,1,Lomonaaeren
The Spellmaker,1,2024,English,205855,3019,20738,7355,610543,30,ni podatka,SonnyGietzel
Vestiges of Normalcy,12,2020,English,94320,1158,12074,4030,388901,18,18,orphan_account
Good Company,10,2012,English,8223,165,14453,2282,118267,1,1,Greenflares
Harry Potter and the Peanut Gallery,1,2022,English,74325,2303,11903,1651,234836,28,ni podatka,shadowscribe
The Pure and Simple Truth,3,2012,English,65482,979,15174,5200,290826,9,9,lettered
What He Grows To Be,8,2022,English,266516,4381,24077,6509,794281,10,10,Severus_divides_into_H
